Customer ID,NumberOfTransactions,TotalSpend,FirstPurchaseDate,LastPurchaseDate,CustomerLifetimeDays,AverageOrderValue
12347.0,7,4060.4,2010-12-07 14:57:00,2011-12-07 15:52:00,365,580.0571428571428
12348.0,4,1186.68,2010-12-16 19:09:00,2011-09-25 13:13:00,282,296.67
12349.0,1,1353.8,2011-11-21 09:51:00,2011-11-21 09:51:00,0,1353.8
12350.0,1,294.40000000000003,2011-02-02 16:01:00,2011-02-02 16:01:00,0,294.40000000000003
12352.0,7,1385.74,2011-02-16 12:33:00,2011-11-03 14:37:00,260,197.96285714285713
12353.0,1,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,0,89.0
12354.0,1,1028.55,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1028.55
12355.0,1,459.40000000000003,2011-05-09 13:49:00,2011-05-09 13:49:00,0,459.40000000000003
12356.0,3,2487.43,2011-01-18 09:50:00,2011-11-17 08:40:00,302,829.1433333333333
12357.0,1,6182.67,2011-11-06 16:07:00,2011-11-06 16:07:00,0,6182.67
12358.0,2,928.0600000000001,2011-07-12 10:04:00,2011-12-08 10:26:00,149,464.03000000000003
12359.0,4,4817.33,2011-01-12 12:43:00,2011-10-13 12:47:00,274,1204.3325
12360.0,3,2200.36,2011-05-23 09:43:00,2011-10-18 15:22:00,148,733.4533333333334
12361.0,1,174.9,2011-02-25 13:51:00,2011-02-25 13:51:00,0,174.9
12362.0,10,4524.78,2011-02-17 10:30:00,2011-12-06 15:40:00,292,452.47799999999995
12363.0,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,276.0
12364.0,3,1143.3,2011-08-19 15:24:00,2011-12-02 10:22:00,104,381.09999999999997
12365.0,1,320.69,2011-02-21 13:51:00,2011-02-21 13:51:00,0,320.69
12367.0,1,150.9,2011-12-05 16:48:00,2011-12-05 16:48:00,0,150.9
12370.0,4,3304.73,2010-12-14 12:58:00,2011-10-19 14:51:00,309,826.1825
12371.0,1,1527.96,2011-10-11 10:43:00,2011-10-11 10:43:00,0,1527.96
12372.0,3,1196.04,2011-02-16 12:46:00,2011-09-29 12:12:00,224,398.68
12373.0,1,324.6,2011-02-01 13:10:00,2011-02-01 13:10:00,0,324.6
12374.0,1,589.03,2011-11-14 15:37:00,2011-11-14 15:37:00,0,589.03
12375.0,2,377.5,2011-09-02 14:23:00,2011-11-29 10:36:00,87,188.75
12377.0,2,1548.1200000000001,2010-12-20 09:37:00,2011-01-28 15:45:00,39,774.0600000000001
12378.0,1,3899.29,2011-08-02 10:34:00,2011-08-02 10:34:00,0,3899.29
12379.0,2,777.24,2011-06-22 16:32:00,2011-09-19 10:09:00,88,388.62
12380.0,4,2278.11,2011-06-07 09:49:00,2011-11-18 11:27:00,164,569.5275
12381.0,5,1485.31,2011-08-12 09:57:00,2011-12-05 12:44:00,115,297.062
12383.0,5,1576.72,2010-12-22 14:28:00,2011-06-08 08:02:00,167,315.344
12384.0,2,425.27000000000004,2011-08-10 11:23:00,2011-11-11 08:39:00,92,212.63500000000002
12386.0,2,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,29,200.95
12388.0,6,2780.6600000000003,2011-01-17 11:12:00,2011-11-24 12:30:00,311,463.4433333333334
12390.0,1,470.94,2011-09-21 09:33:00,2011-09-21 09:33:00,0,470.94
12391.0,1,443.94,2011-11-18 12:07:00,2011-11-18 12:07:00,0,443.94
12393.0,4,1582.6000000000001,2011-01-11 09:47:00,2011-09-28 15:41:00,260,395.65000000000003
12394.0,2,629.9200000000001,2011-05-06 14:01:00,2011-10-07 08:08:00,153,314.96000000000004
12395.0,12,2642.68,2010-12-03 16:35:00,2011-11-20 15:21:00,351,220.22333333333333
12397.0,2,2096.25,2011-07-27 14:21:00,2011-11-04 09:52:00,99,1048.125
12398.0,1,1435.66,2011-10-25 10:27:00,2011-10-25 10:27:00,0,1435.66
12399.0,4,1033.65,2011-03-23 09:42:00,2011-08-12 13:15:00,142,258.4125
12401.0,1,69.3,2011-02-09 13:50:00,2011-02-09 13:50:00,0,69.3
12402.0,1,195.6,2011-01-20 13:49:00,2011-01-20 13:49:00,0,195.6
12403.0,1,391.7,2011-10-21 10:51:00,2011-10-21 10:51:00,0,391.7
12405.0,1,1390.39,2011-07-14 08:52:00,2011-07-14 08:52:00,0,1390.39
12406.0,2,3415.3,2011-06-09 10:23:00,2011-11-17 19:22:00,161,1707.65
12407.0,5,1420.08,2011-03-20 13:21:00,2011-10-21 10:11:00,214,284.01599999999996
12408.0,5,2516.85,2011-03-24 14:46:00,2011-11-07 12:27:00,227,503.37
12409.0,3,10950.27,2011-06-10 12:19:00,2011-09-22 10:38:00,103,3650.09
12410.0,2,533.33,2011-02-04 10:38:00,2011-02-04 10:39:00,0,266.665
12412.0,3,1142.88,2011-06-23 13:51:00,2011-09-26 10:16:00,94,380.96000000000004
12413.0,3,656.15,2011-01-06 16:12:00,2011-10-04 09:00:00,270,218.71666666666667
12414.0,3,442.41,2011-02-02 14:51:00,2011-05-06 14:51:00,93,147.47
12415.0,15,67004.37,2011-01-06 11:12:00,2011-11-15 10:32:00,312,4466.958
12417.0,9,3074.5,2010-12-17 11:51:00,2011-12-06 14:52:00,354,341.6111111111111
12418.0,1,668.58,2011-08-19 11:08:00,2011-08-19 11:08:00,0,668.58
12420.0,1,566.49,2011-10-07 08:55:00,2011-10-07 08:55:00,0,566.49
12421.0,4,639.04,2011-01-24 15:09:00,2011-11-24 09:07:00,303,159.76
12422.0,3,683.5600000000001,2011-01-19 09:13:00,2011-09-05 09:48:00,229,227.85333333333335
12423.0,8,1600.41,2010-12-21 10:54:00,2011-12-09 10:10:00,352,200.05125
12424.0,2,1608.32,2011-06-30 12:06:00,2011-06-30 12:06:00,0,804.16
12425.0,1,777.2,2011-09-22 17:31:00,2011-09-22 17:31:00,0,777.2
12426.0,1,493.78000000000003,2011-05-29 12:26:00,2011-05-29 12:26:00,0,493.78000000000003
12427.0,3,639.32,2010-12-03 10:44:00,2011-11-18 08:56:00,349,213.10666666666668
12428.0,8,6371.36,2011-03-01 09:33:00,2011-11-14 08:22:00,257,796.42
12429.0,4,3388.4,2010-12-09 12:05:00,2011-11-30 17:22:00,356,847.1
12430.0,1,216.4,2011-10-27 15:09:00,2011-10-27 15:09:00,0,216.4
12431.0,14,5137.66,2010-12-01 10:03:00,2011-10-10 14:49:00,313,366.9757142857143
12432.0,4,4089.52,2011-06-20 13:27:00,2011-10-28 11:43:00,129,1022.38
12433.0,7,12856.51,2010-12-01 13:24:00,2011-12-09 10:02:00,372,1836.6442857142858
12434.0,2,806.14,2011-03-24 13:05:00,2011-09-16 12:38:00,175,403.07
12435.0,2,7120.450000000001,2011-03-17 07:40:00,2011-09-21 09:06:00,188,3560.2250000000004
12436.0,1,429.01,2011-09-01 12:09:00,2011-09-01 12:09:00,0,429.01
12437.0,18,4447.41,2011-01-12 14:13:00,2011-12-08 11:35:00,329,247.07833333333332
12438.0,2,2466.85,2011-07-22 13:29:00,2011-11-25 13:28:00,125,1233.425
12441.0,1,155.55,2010-12-08 10:45:00,2010-12-08 10:45:00,0,155.55
12442.0,1,144.06,2011-12-06 14:22:00,2011-12-06 14:22:00,0,144.06
12444.0,5,3647.61,2011-06-21 14:00:00,2011-11-18 13:23:00,149,729.522
12445.0,1,77.4,2011-11-17 18:43:00,2011-11-17 18:43:00,0,77.4
12446.0,1,1002.3100000000001,2011-10-13 12:50:00,2011-10-13 12:50:00,0,1002.3100000000001
12447.0,1,431.49,2011-04-10 13:25:00,2011-04-10 13:25:00,0,431.49
12448.0,1,300.45,2011-10-26 13:46:00,2011-10-26 13:46:00,0,300.45
12449.0,4,3596.29,2011-06-05 15:37:00,2011-11-17 13:46:00,164,899.0725
12450.0,2,197.88,2011-06-19 14:36:00,2011-07-06 14:41:00,17,98.94
12451.0,5,8775.17,2011-01-19 09:05:00,2011-11-29 08:40:00,313,1755.034
12452.0,1,350.57,2011-11-23 08:05:00,2011-11-23 08:05:00,0,350.57
12453.0,1,707.09,2011-07-28 14:08:00,2011-07-28 14:08:00,0,707.09
12454.0,1,2500.84,2011-10-14 17:13:00,2011-10-14 17:13:00,0,2500.84
12455.0,5,2181.46,2011-02-16 09:56:00,2011-09-27 15:31:00,223,436.29200000000003
12456.0,3,2581.04,2011-03-30 09:12:00,2011-10-26 14:41:00,210,860.3466666666667
12457.0,6,1907.63,2011-04-14 18:57:00,2011-10-04 13:13:00,172,317.93833333333333
12458.0,2,787.4,2011-02-28 10:55:00,2011-09-29 15:25:00,213,393.7
12461.0,1,626.88,2011-07-08 10:23:00,2011-07-08 10:23:00,0,626.88
12462.0,2,937.59,2011-02-09 14:44:00,2011-11-21 09:11:00,284,468.795
12463.0,4,1200.78,2011-04-12 12:47:00,2011-10-17 13:44:00,188,300.195
12464.0,8,855.35,2011-02-03 13:30:00,2011-11-29 13:33:00,299,106.91875
12465.0,2,682.19,2011-06-23 13:37:00,2011-11-22 16:34:00,152,341.095
12468.0,2,657.5400000000001,2011-01-27 13:29:00,2011-06-05 11:36:00,128,328.77000000000004
12471.0,27,17407.1,2010-12-10 09:35:00,2011-12-07 15:43:00,362,644.7074074074073
12472.0,7,6000.31,2010-12-05 14:19:00,2011-11-07 14:01:00,336,857.1871428571429
12473.0,3,2545.38,2011-06-01 10:15:00,2011-10-17 11:27:00,138,848.46
12474.0,18,6642.04,2011-01-14 10:06:00,2011-11-22 14:39:00,312,369.0022222222222
12475.0,1,669.38,2011-10-17 10:10:00,2011-10-17 10:10:00,0,669.38
12476.0,11,5814.67,2010-12-13 14:39:00,2011-11-24 12:40:00,345,528.6063636363637
12477.0,6,13168.89,2011-02-11 12:45:00,2011-11-17 09:51:00,278,2194.815
12478.0,1,545.99,2011-12-06 09:56:00,2011-12-06 09:56:00,0,545.99
12479.0,1,473.2,2011-11-28 13:26:00,2011-11-28 13:26:00,0,473.2
12480.0,4,2568.83,2011-01-07 15:27:00,2011-11-11 14:52:00,307,642.2075
12481.0,10,4952.52,2010-12-09 10:13:00,2011-11-17 08:29:00,342,495.25200000000007
12483.0,8,1910.98,2011-01-04 14:20:00,2011-11-22 17:02:00,322,238.8725
12484.0,4,3953.7200000000003,2011-01-07 14:04:00,2011-11-04 15:18:00,301,988.4300000000001
12488.0,3,1075.16,2011-09-25 10:34:00,2011-11-30 08:50:00,65,358.3866666666667
12489.0,1,267.03000000000003,2011-01-07 13:13:00,2011-01-07 13:13:00,0,267.03000000000003
12490.0,10,4859.93,2011-01-14 09:13:00,2011-12-04 16:07:00,324,485.99300000000005
12491.0,1,424.40000000000003,2011-11-01 12:18:00,2011-11-01 12:18:00,0,424.40000000000003
12492.0,2,227.21,2011-08-26 14:51:00,2011-10-07 15:15:00,42,113.605
12493.0,2,362.79,2011-05-26 14:53:00,2011-06-27 10:17:00,31,181.395
12494.0,7,1084.1,2010-12-09 11:31:00,2011-11-24 09:34:00,349,154.87142857142857
12497.0,1,690.6,2011-09-19 12:29:00,2011-09-19 12:29:00,0,690.6
12498.0,3,349.70000000000005,2011-10-13 09:30:00,2011-11-18 12:53:00,36,116.56666666666668
12500.0,9,2076.59,2011-01-10 09:48:00,2011-10-21 10:13:00,284,230.73222222222225
12501.0,1,2008.44,2011-01-07 12:28:00,2011-01-07 12:28:00,0,2008.44
12502.0,5,2875.2200000000003,2011-02-03 10:41:00,2011-09-05 11:52:00,214,575.0440000000001
12504.0,2,428.04999999999995,2011-11-09 14:56:00,2011-11-21 16:02:00,12,214.02499999999998
